filename,index,blue,green,red,nir,X,Y,blue_coefficients,green_coefficients,red_coefficients,nir_coefficients
20190302_105726_SV1-01_50cm_RD_11bit_RGBI,26280,479,442,331,401,4.408140743397677,52.20791964005988,-1,1,-16,-49
20190302_105829_SV1-01_50cm_RD_11bit_RGBI,26280,502,461,357,396,4.408140743397677,52.20791964005988,-24,-18,-42,-44
20190308_111644_SV1-01_50cm_RD_11bit_RGBI,26280,453,416,327,395,4.408140743397677,52.20791964005988,25,27,-12,-43
20190422_111335_SV1-01_50cm_RD_11bit_RGBI,27667,455,444,388,537,4.408140743397677,52.20791964005988,23,-1,-73,-185
20190601_105844_SV1-04_50cm_RD_11bit_RGBI,26280,695,643,467,643,4.408140743397677,52.20791964005988,-217,-200,-152,-291
20190721_112303_SV1-04_50cm_RD_11bit_RGBI,26280,670,616,445,558,4.408140743397677,52.20791964005988,-192,-173,-130,-206
20191025_113826_SV1-02_50cm_RD_11bit_RGBI,26280,322,249,155,87,4.408140743397677,52.20791964005988,156,194,160,265
20191130_110721_SV1-01_50cm_RD_11bit_RGBI,27667,98,66,89,88,4.408140743397677,52.20791964005988,380,377,226,264
20191202_110525_SV1-04_50cm_RD_11bit_RGBI,26280,412,370,289,364,4.408140743397677,52.20791964005988,66,73,26,-12
20200304_114601_SV1-02_SV_RD_11bit_RGBI,26280,432,394,263,305,4.408140743397677,52.20791964005988,46,49,52,47
20200311_110841_SV1-01_SV_RD_11bit_RGBI,26280,409,379,296,322,4.408140743397677,52.20791964005988,69,64,19,30
20200323_112115_SV1-03_SV_RD_11bit_RGBI,26280,312,251,204,492,4.408140743397677,52.20791964005988,166,192,111,-140
20200508_110812_SV1-01_SV_RD_11bit_RGBI,26280,466,460,384,517,4.408140743397677,52.20791964005988,12,-17,-69,-165
20200625_112015_SV1-03_SV_RD_11bit_RGBI,26280,600,524,392,524,4.408140743397677,52.20791964005988,-122,-81,-77,-172
20200731_112003_SV1-03_SV_RD_11bit_RGBI,26280,554,486,366,471,4.408140743397677,52.20791964005988,-76,-43,-51,-119
20200915_112329_SV1-04_SV_RD_11bit_RGBI,26280,482,446,316,352,4.408140743397677,52.20791964005988,-4,-3,-1,0
20201231_105943_SV1-01_SV_RD_11bit_RGBI,26280,201,120,103,110,4.408140743397677,52.20791964005988,277,323,212,242
20210302_111247_SV1-03_SV_RD_11bit_RGBI,26280,373,290,224,288,4.408140743397677,52.20791964005988,105,153,91,64
20210423_104948_SV1-01_SV_RD_11bit_RGBI,26280,421,401,344,444,4.408140743397677,52.20791964005988,57,42,-29,-92
20210709_103835_SV1-01_SV_RD_11bit_RGBI,26280,705,680,488,651,4.408140743397677,52.20791964005988,-227,-237,-173,-299
20210815_111051_SV1-03_SV_RD_11bit_RGBI,26280,538,469,345,480,4.408140743397677,52.20791964005988,-60,-26,-30,-128
